video_file,track_id,start_frame,end_frame,points_in_window,speed_mean,speed_std,speed_min,speed_max,speed_range,vertical_speed_mean,vertical_speed_std,vertical_speed_abs_mean,vertical_speed_abs_max,angle_change_mean,angle_change_std,angle_change_max,tilt_mean,tilt_std,tilt_max,bbox_area_mean,bbox_area_std,bbox_area_max,conf_mean,surface_ratio,middle_ratio,bottom_ratio,x_range,y_range,movement_area,label
dead_or_moribund_fish.mp4,7,378,480,30,4.5991651098188076,8.699483526391592,0.0,50.02249493977684,50.02249493977684,0.0,0.8755950357709131,0.7,1.5,31.95139604570755,37.34829954649971,153.434948822922,41.07918800477221,3.7013074084467337,48.57633437499735,25923.033333333333,3149.2036081453284,32250.0,0.5045011162757873,1.0,0.0,0.0,132.0,3.5,462.0,dead_or_moribund_floating
dead_or_moribund_fish.mp4,7,428,506,25,2.1036212669365515,0.9873082422892346,1.0,5.220153254455275,4.220153254455275,0.04,0.7989993742175271,0.64,1.5,42.30659091822865,39.1386308719748,153.434948822922,43.96454768490429,3.5060201344307282,50.44988610453928,23898.4,2492.1534623694424,27750.0,0.5165687119960785,1.0,0.0,0.0,44.5,4.0,178.0,dead_or_moribund_floating
dead_or_moribund_fish.mp4,7,448,506,15,2.1340433851747207,1.2230530774222423,1.0,5.220153254455275,4.220153254455275,0.16666666666666666,0.7888106377466155,0.6333333333333333,1.5,47.48025017835839,47.933343042275894,153.434948822922,46.275313717683574,2.5829092118834094,50.44988610453928,22301.933333333334,1830.4288192175686,25217.0,0.4688113331794739,1.0,0.0,0.0,25.5,3.5,89.25,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,0,58,30,1.0029574470052696,0.5721972499322286,0.0,2.23606797749979,2.23606797749979,0.016666666666666666,0.9702519718551924,0.7833333333333333,2.0,94.64498290072672,63.90024220770657,179.99999879258172,25.97902782202238,0.1783776381084306,26.32498646662236,40165.6,387.9489313470696,41038.0,0.8815292398134867,1.0,0.0,0.0,3.5,2.0,7.0,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,20,78,30,1.7909507911198905,1.8909861440847133,0.0,8.94427190999916,8.94427190999916,-0.06666666666666667,2.242518425540555,1.3,8.0,104.38386109479613,58.535225066216114,179.99999879258172,25.97967766097635,0.3043180808710551,26.6442984011123,40279.5,646.9528962760736,41905.0,0.8715544780095418,1.0,0.0,0.0,15.0,9.0,135.0,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,40,98,30,2.124622998585713,1.9500368664585093,0.0,8.94427190999916,8.94427190999916,0.0,2.3874672772626644,1.4333333333333333,8.0,101.55481369567802,52.44685418671885,179.99999879258172,25.798014804032373,0.5002582076310591,26.6442984011123,40238.7,689.5583199894456,41905.0,0.8668797016143799,1.0,0.0,0.0,27.0,9.5,256.5,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,60,118,30,2.340859352997507,1.9201677416701803,0.5,8.94427190999916,8.44427190999916,-0.08333333333333333,2.4531725490791625,1.5833333333333333,8.0,104.22479558697252,51.179892259554215,171.869897645844,25.455111099117506,0.6306129631757204,26.6442984011123,40081.833333333336,762.0156640268114,41905.0,0.8527694543202718,1.0,0.0,0.0,26.5,11.5,304.75,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,80,138,30,2.171056294084851,1.062158761476466,0.5,4.6097722286464435,4.1097722286464435,-0.016666666666666666,1.8096193583796076,1.4833333333333334,4.0,90.58756675149147,54.5920989222968,171.86989764584396,25.434080655425404,0.620255380053657,26.485140797213607,39850.8,801.3616911233031,41464.0,0.7878529419501622,1.0,0.0,0.0,17.0,7.0,119.0,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,100,158,30,2.32497862340645,0.99304635711014,0.7071067811865476,4.6097722286464435,3.902665447459896,0.08333333333333333,1.7372551785951178,1.45,4.0,78.48818604232571,58.601517391930834,171.86989764584396,25.53733970715338,0.6251771583839731,26.485694192485845,39800.666666666664,977.6858504766356,41904.0,0.7642601817846298,1.0,0.0,0.0,33.5,8.0,268.0,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,120,178,30,2.7222219643762267,1.0437947962447578,0.5,4.47213595499958,3.9721359549995796,0.05,2.0508128469788103,1.6166666666666667,4.0,68.86733732255145,52.898328427544385,168.6900675259798,25.940449965114755,0.6198139882345136,27.531976748722293,39829.96666666667,1109.1758346728539,41904.0,0.7539409706989925,1.0,0.0,0.0,46.5,8.0,372.0,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,140,198,30,2.727762813503642,1.0844245939360468,0.5,4.47213595499958,3.9721359549995796,0.016666666666666666,2.0061710351368904,1.6166666666666667,4.0,79.80716305877263,51.901114845236016,168.6900675259798,26.016740189578922,0.6027327112868777,27.531976748722293,39507.73333333333,1073.7846132048808,41904.0,0.7941246251265208,1.0,0.0,0.0,45.0,6.5,292.5,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,160,218,30,2.6029058402216956,1.2648640982096808,0.5,5.315072906367325,4.815072906367325,-0.18333333333333332,2.0915836636917544,1.65,4.0,87.54009744570352,49.41653118312478,174.14398641457117,26.423086577987117,0.6821148116791338,27.749728577211773,38891.933333333334,1144.4843360900818,41902.0,0.801196418205897,1.0,0.0,0.0,33.5,5.5,184.25,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,180,238,30,2.9650504611095108,1.609909654734579,0.5,6.020797289396148,5.520797289396148,0.016666666666666666,2.354015481871113,1.9166666666666667,5.0,104.20951009353786,42.098013977120125,174.14398641457117,26.68380141832644,0.6536603343339318,28.401895607138954,38119.333333333336,1031.4376805647973,39903.0,0.7679684221744537,1.0,0.0,0.0,27.5,7.0,192.5,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,200,258,30,3.444688582777799,1.6884274442056875,0.5,6.020797289396148,5.520797289396148,0.05,2.7121639576790586,2.25,5.0,94.54438690315207,42.27215504581484,174.14398641457117,27.06186316054445,0.6129400678127137,28.401895607138954,37585.1,1079.2847122052642,40150.0,0.7621620913346608,1.0,0.0,0.0,52.5,7.0,367.5,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,220,278,30,4.049460954190662,1.8032930933393092,0.5,8.0156097709407,7.515609770940699,0.03333333333333333,2.7686739706140115,2.433333333333333,5.0,86.19262831071532,39.37380326758498,163.30075576600638,27.25375966348607,0.5990678378595738,28.401895607138954,37184.6,1047.4900667786783,40150.0,0.7315245032310486,1.0,0.0,0.0,81.5,7.0,570.5,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,240,298,30,3.712798144220351,1.8184599547255877,0.5,8.0156097709407,7.515609770940699,-0.05,2.360614326822575,2.0166666666666666,5.0,64.58207896818799,40.314415327207826,135.0,27.561789293629705,0.5185981477569216,28.625779392742675,36755.86666666667,1027.1038160229416,40150.0,0.7458319425582886,1.0,0.0,0.0,82.0,6.0,492.0,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,260,318,30,3.7781426031437944,1.8997294027421814,0.5,8.0156097709407,7.515609770940699,-0.016666666666666666,2.0103205935593675,1.7166666666666666,4.0,61.32268611653368,41.759876196866294,147.652556500558,27.988740478319393,0.5431195429698124,29.13145955870013,36291.1,879.0346352675758,37929.0,0.7105157355467479,1.0,0.0,0.0,81.5,4.0,326.0,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,280,338,30,3.5475283453358744,1.6678457080033458,0.5,6.5,6.0,-0.05,1.9076599976585626,1.6166666666666667,4.0,55.580794217790526,42.21694214534535,147.652556500558,28.58347114958605,0.6965239407162844,29.99507961713978,35843.2,796.8037148507781,37466.0,0.6737338483333588,1.0,0.0,0.0,83.5,5.0,417.5,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,300,360,30,4.071144985049951,2.2473937151070404,0.5,13.0862523283024,12.5862523283024,0.016666666666666666,1.9684314116123585,1.6833333333333333,4.0,57.17746513205093,45.38552540633718,147.652556500558,29.68859592183594,1.7750351855333826,36.91837122100743,34906.933333333334,2071.396983251212,37062.0,0.618233193953832,1.0,0.0,0.0,76.0,6.5,494.0,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,320,380,30,6.000644506896557,5.531027526766811,0.5,28.071337695236398,27.571337695236398,-0.06666666666666667,1.6519348924485155,1.3333333333333333,3.5,53.0330729761898,54.333817053604534,176.63353933657007,32.27473615932813,3.7475293149183715,42.32813540672742,32374.566666666666,4045.188110033396,36322.0,0.5624798138936361,1.0,0.0,0.0,81.5,5.0,407.5,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,340,400,30,5.805635867658522,5.59787985212469,1.5,28.071337695236398,26.571337695236398,-0.03333333333333333,1.359738536958076,0.9666666666666667,3.5,41.27473351272058,53.77033727600531,176.63353933657007,33.958504165554366,3.134996509034194,42.32813540672742,31177.533333333333,3457.2381629785873,35250.0,0.52117973168691,1.0,0.0,0.0,80.5,4.5,362.25,dead_or_moribund_floating
dead_or_moribund_fish.mp4,0,362,420,30,5.07734965920638,5.577082908787549,1.5,28.071337695236398,26.571337695236398,-0.15,0.9322910847297997,0.6166666666666667,2.5,30.061562205111574,48.785317452072455,176.63353933657007,35.76940188128204,2.1897596771269208,42.32813540672742,30030.333333333332,2631.7085873798583,32856.0,0.4949975689252218,1.0,0.0,0.0,95.0,3.0,285.0,dead_or_moribund_floating
